user,waktu,review
Jeje S,4 tahun lalu,"di google maps berada di blitar, sebenarnya yang salah googlenya apa pemerinta?"
Hastin,4 tahun lalu,Beautifull place 👍🏻😍 …
Silvester Take,8 tahun lalu,"Good view, easy to reach go  there by motorbike. Cilok taste is good. Still under tunnel rehabilitation."
Ryan Pratama,3 tahun lalu,"Pemandangan yang sangat indah, dengan suasana yang sejuk."
Mirza Febri,8 tahun lalu,"Sumpah tempat ini bener bener favorit dr gunung gunung yg pernah sy datangi. Buat kalian yg mau cari gunung lagi, ini ini recomended bgt dr akuu"
Hady Prasetyo,7 tahun lalu,Mantap ga perlu repot jalan kaki naik motor sampai puncak
didot 04,8 tahun lalu,"Karya tuhan memang sangat indah
Meletusnya gn. Kelud memang bencana dan musibah
Selain itu menghasilkan keindahan yang sangat sangat indah
Terimakasih tuhan"
cloud evil,3 tahun lalu,👍👍👍 …
Alek Wicaksono,7 tahun lalu,Wisata murah kabupaten kediri
Pergi Kesini,8 tahun lalu,masih dalam perbaikan fasilitas. akses kawah masih tertutup. semoga cepat dibuka lagi.
Alam Syah,7 tahun lalu,Pemandangannya sangat alami terutama udaranya yg sejuk.
Hermin Itsuki,7 tahun lalu,Rame banget ternyata banyak pengunjungnya. Itu karena memang pemandangannya yang luar biasa.
dinda ajeng,setahun lalu,"orang-orang sekitarnya ramah dan baik-baik semuaaa, masyaAllah"
Mudie Zocam,7 tahun lalu,"wisata yang sangat indah terbayar sudah sesampe disini,tempat yang sangat indah dan bagaikan surga dunia"
Yuni Pramita,5 tahun lalu,Memorized
pendaki siput RO6,5 tahun lalu,Perjalanan xg lumayan capek trbayar dengan pemandngan luar biasa
Rooney FTV (Rooney),3 tahun lalu,Destinasi wisata alam yg terletak di wilayah kediri-blitar.
anas barokah,9 tahun lalu,Subhanallah!!! Gunung kelud memang sangat indah dari kejauhan maupun dekat banyak orang yang berkunjung ke sana untuk berwisata
Novy Adrianto,7 tahun lalu,Biar ga jadi sengketa berkepanjangan dan adil gunungnya dibelah jadi 2 saja separuh Blitar separuh Kediri
Alwin Bejo,setahun lalu,View bagus.. Buat healing sama keluarga
07.Amelia Nufrida,3 tahun lalu,"Bagus banget pemandangan nya
Kelud bikin candu😭🥰 …"
Mela Wijaya,8 tahun lalu,Wisata omah londo di lereng gunung kelud sport foto bagus dan unik rekomend deh buat kalian 😄😄😄 …
devy wulansari,7 tahun lalu,Masuk bayar per orang dan parkir.. parkir di kampung coklat bayar lagi.. parkir di kampung durian bayar lagi
Ikhlaashul Muaasyiqiin,7 tahun lalu,Mantap pemandangannya
riska alfiani,7 tahun lalu,"Beautiful scenery with breeze and you can spend your weekend in this place, I think this is the good choice to enjoy your time with your lovely person."
agus m,4 tahun lalu,banyak cerita sejarah di gunung ini dan mudah di jangkau dengan kendaraan
Arief Nur Setyady,8 bulan lalu,sangat indah
Rizqimuhadli Sutarno,2 tahun lalu,Dingin dan pemandangan indah saat tak ada kabut
Erdi Widiyanto,4 tahun lalu,"Tanjakan mendebarkan, hawa sejuk. Nyaman untuk nyantai"
GAME DAY,5 tahun lalu,Bikin takjub
Ullya Nurulblitar,2 tahun lalu,Tiket perorang brapa naik ojek e brapa
Pri Ambodo Cipto Trisnowati,setahun lalu,Tempat yang memiliki cerita dan kenangan
Aris Adi P,7 tahun lalu,"Wisata alam gunung berapi yang masih aktif, sangat sejuk diatas"
Damn Nugroho,4 tahun lalu,"Info dong apakah gunung Kelud udah buka,? Klik membantu jika sudah buka...trims"
M. A. Gofur. I. C,9 tahun lalu,Salah satu gunung yang aktif di Indonesia
Suwiji Wiji,4 tahun lalu,Mantab sussana alami bisa berbicara dengan alam ciptaan Alloh SWT.
Rere Bubu,4 tahun lalu,Kawasan wisata yang tak pernah bosan untuk dikunjungi saat dikediri
Percetakan Restu jaya (Bpk. Arifin & Ibu Selvi),2 tahun lalu,"Obat penat, sejuk, tenang, asri, makanan murah.bagus pemandangan nya."
Eyik Pamuji,2 tahun lalu,👍 …
Dodit Haris,setahun lalu,Pemandangan yang alami dan suasana sejuk
Nayla Ramadhani,5 tahun lalu,"Sangat menikmati keindahan alam ini🖤🇲🇨🙏
30,12,2020 …"
J,3 tahun lalu,Very beautiful.
Yusuf Ajhaa._,3 tahun lalu,"Bagus , Tapi Tidak Disarankan Bila 𝙃𝙐𝙅𝘼𝙉 karena Potensi 𝙇𝙊𝙉𝙂𝙎𝙊𝙍 Dan Jalan Nya 𝙇𝙄𝘾𝙄𝙉 . …"
muhammad ali maftuh,8 tahun lalu,Di lokasi ini banyak mendapatkan ilmu. Mulai dari tukang ojek. Tukang foto bahkan tukang juru parkir
Reggy Annisa,6 tahun lalu,"Keren sekali, asik untuk dijadikan tempat menikmati indahnya alam"
dermawan hidayat,4 tahun lalu,Aku pernah masa kecil kesitu dingin banget loh apa lagi aku deket gunung itu
Annette S N,2 tahun lalu,Masa naiknya hrus pake ojek mana mahal lg stres
B O S S,4 tahun lalu,Wisata Tutup kok nggak diKasih Informasi dimaps
SEGAR KAPALA,5 tahun lalu,Sampai pech suara dan kiltan gumung ini pas meletus 'trlihat sampai radius 70km. Q KERTOSONO JATIM
Galuh Candra,4 tahun lalu,"Wajib naik ojek, dan mahal ongkosnya"
PAJERO TRIP 789,8 tahun lalu,Masa tenggang gunung ini sekitar 25th siap meletus lagi
anang mustofa,6 tahun lalu,Gak ada fasilitas buat duduk santai...
Siti Burhan,6 tahun lalu,Apik
Shane Lee,5 tahun lalu,Tutup.....
anang suhandoko,5 tahun lalu,HARI INI DITUTUP TOTAL SAMPAI BATAS WAKTU TIDAK DITENTUKAN.
Luqman Hakim Mahardhika,8 tahun lalu,Tempat ini bukan punya blitar tapi punya kediri jawa timur
Siti Noor Jannah,8 tahun lalu,Aku sangat suka dengan keindahan alam
Heri Anto,3 tahun lalu,Rupanya Alam nya masih asri
iziziz Day,2 tahun lalu,Ojek ohh ojekkk
tian septyan,2 tahun lalu,Kurang menyenagkan
Khasanah Dwi,8 tahun lalu,Karena saya nggak tau kesana
Ennylis Wiyani,7 tahun lalu,Wah keren sekali
Wahyu “Toyota Auto2000 Blitar”,6 tahun lalu,"Keren indah, dan banyak preman"
Budi Elp,4 tahun lalu,wisata tutup
Tahu Goreng,3 tahun lalu,Mahal tarif
Eni Kurniati,2 tahun lalu,Morning  lagu
Azz Zr,2 minggu lalu,"Ini bangun jalannya pake uang tukang ojek kah? 🤣 kok kendaraan pengunjung tidak boleh sampai kawah, padahal motor gw lebih bagus dari si ojek yang motornya bodong🤣🤣 …"
Willi Cardozo,3 hari lalu,Seorang teman melihat sesuatu di daerah itu yang disebut Ibu Gogo atau semacamnya. …
Jiehad Mbelink,2 hari lalu,"Sudah 3x kesini sebelum dan sesudah meletus, suasananya lebih enak yg dulu motor bisa sampai parkiran puncak, kalo sekarang ada tukang ojek yg sedia mengantarkan pengunjung"
Willi Cardozo,3 hari lalu,"Seorang teman melihat sesuatu di daerah itu yang disebut Ibu Gogo atau semacamnya.

Tahun 2027 seharusnya menjadi tahun ekspedisi besar ke daerah itu."
Agis Eomma Keun,6 hari lalu,"Akses mudah, scenery luar biasa. Setiap tahun kesini, numani."
Monique Laura Sabrina,seminggu lalu,gacor bgttt tracknya kelud via karangrejo:)
Rahmat Ibrahim,Diedit seminggu lalu,"Setelah sekian lama akhirnya balik lagi ke Sini, sekarang tepatnya semakin bagus dan terawat, sama ada fasilitas toilet di sekitar kawah dan ini cukup membantu sekali"
dijay brian,seminggu lalu,"Gunung Kelud adalah salah satu gunung berapi paling aktif di Indonesia, letusan terakhirnya terjadi pada tahun 2014 …"
Dewi Retno,seminggu lalu,Sekarang kalo ke kawah tak perlu capek sudah ada kang parkir. Buat PP 30k lumayan worth it krn kita di tungguin sampai puas meliat keindahan. Sehat sehat semua 💙 …
Odink Kumi,seminggu lalu,Subhanallah adem pikiran kesana aksesnya mudah jalan nya indah dan Wenak.....
Pipiet Wibawanto,seminggu lalu,Pamdangan yg sangat eksotis
Ahmad Dhimas,seminggu lalu,"Pemandangan Bintang 5
Ojek nya sangarr
Seru sih wajib kesini klau nyari pendakian"
Syaa,seminggu lalu,Tempatnya bagus gayss aku suka banget mendaki disini kalau lagi jam kosong gitu dan suasananya juga bagus buat foto foto
Taufan Eka Ptasetya,seminggu lalu,Ke kawah harus naik ojek dan menggembirakan
ARIE caKep,2 minggu lalu,Kalau ke Kediri mampirlah ke gunung Kelud. Liat pemandangan yang indah. Kawah dan puncak yang mempesona. Hanya 1 jam kurang lebih dari kota Kediri. Tempat parkir yang nyaman pegawainya juga ramah. Untuk ke puncak gunung bisa jalan kaki …
M Fajar Aflah,2 minggu lalu,"Gunung Kelud merupakan salah satu destinasi wisata alam yang sangat indah di Jawa Timur. Pemandangannya luar biasa, terutama dari puncak kawah yang masih aktif dan memiliki daya tarik tersendiri. …"
Dave Gracia,3 minggu lalu,tangannya sispax
Dhebie Zach,Diedit 3 minggu lalu,"Adem tempatnya, banyak warung2 yg buka hanya sayang unt jeep naik keatas sdh ditiadakan"
huzna,3 minggu lalu,Gunung Kelud memiliki area parkir yang cukup luas dekat kawasan wisata kawah. Pengunjung juga dapat menemukan toilet serta beberapa warung makan di sekitar lokasi. Untuk menuju kawah tersedia tangga yang cukup panjang namun jalurnya aman. Waktu tempuh dari area parkir menuju kawah biasanya sekitar 20–30 menit berjalan santai.
hasan udin,2 bulan lalu,Pemandangan indah dan sejuk.
Arshaka Wijaya,2 bulan lalu,Sangat dingin
ERWIN ZP,Diedit 2 bulan lalu,Mantap
Bima Aditya,5 bulan lalu,-ku
Tirta Rahmadanu,6 bulan lalu,👍👍👍👍👍👍👍👍👍👍🤩 …
夏楓,6 bulan lalu,"Biaya masuk 8.000 + biaya sewa sepeda motor 3.000; jam buka 07:00-15:30. Semua kendaraan harus diparkir di tempat parkir yang berjarak sekitar 4 km dari gunung berapi, kemudian melanjutkan perjalanan dengan berjalan kaki atau membayar …"
Mbak Rohmah,7 bulan lalu,😃 …
Ruse Lan,8 bulan lalu,Siap
SATRIA ARADHANA,9 bulan lalu,indah poll
Andika Nurzamuden,9 bulan lalu,keren
Devi Puspitasari,Diedit 9 bulan lalu,Sangat indah
Mohammad imbron Imbron,10 bulan lalu,buntu 5
Muhib bujazulilham,10 bulan lalu,Jayyid adalah karakter utamanya🔥 …
Bambang Hariono,10 bulan lalu,Panorama yang indah
Dhike Ardhian,11 bulan lalu,Jek ojek👎 …
Rika Rika,4 tahun lalu,semoga gunug kelud tidak meletus😘😘😘😘😘😘😘😘😘 …
maryuhen tri,8 tahun lalu,Akses ke lokasi air panas sulit n extreme
Ridwan Kamil,2 tahun lalu,Tes dulu
kharom kungking,7 tahun lalu,Hadeww... Capeknya naik terbayarkan
Silet Mu,5 tahun lalu,Masih tutup atau sudah buka?
Zaenal Abidin,4 tahun lalu,Panas
RAKA21 GAMING,5 tahun lalu,Kevin
Tiok Prasojo,6 tahun lalu,Kurang rindang
Khoirul Adha,8 tahun lalu,Bagus
BL.O Record,7 tahun lalu,Bagus
Mujianto Syeh,7 tahun lalu,Asalamualaikum
mas hamza,3 tahun lalu,di luar binasa
Adriyan Riyan,5 tahun lalu,Foto Pegunungan Kelud!
Che Ghofara,6 tahun lalu,Pereda kelelahan
Syukron Muhammad,Diedit 7 tahun lalu,"Lumayan untuk melepas penat, jangan lupa beli nanas kalau lagi di kelud & jangan tawar harganya."
Heri Widiyanto,7 tahun lalu,Mantab. Seandainya boleh naik bawa kendaraan makin ok.
Fachrul Maulana M,7 tahun lalu,"Saat saya ke sini tidak bisa masuk ke kawasan kawah, karena sedang berlangsung proyek terowongan"
tulusanc,3 tahun lalu,Wisata alam yg indah dan sangat indah ..
Dewi Agustin,2 tahun lalu,Udaranya adem bebbh nendang  .. Wajib bawa ayank 😅 …
Khusnul Hadi,9 tahun lalu,"Yah, capek doang. Gak cocok utk keluarga (anak2 dan orang tua kasian)."
Lina Yun,8 tahun lalu,"wowwwwww bagus banget ,cocok untuk dijadikan tempat selfi."
ryschii (ferry),7 tahun lalu,Bulan depan berangkat dan ingin tau seberapa gregetnya gunung kelud
Danis 90 Wara.,3 tahun lalu,Ada kawah gunung berapi aktif 🌋🌋🌋 …
Yoyok Wahyu,5 tahun lalu,mantab....ekstrem dgn jalur tikusnya
Yusuf SetiAwan,6 tahun lalu,Cuman sampai parkiran waktu itu
Monika Ruwaimana,7 tahun lalu,"Masih ditutup, padahal udah lama banget meletusnya"
Heru Prastio,8 tahun lalu,Mohon info apakah bisa sampai kawah?
Afan Dzikrulloh,7 tahun lalu,"Belum Pulih....
Masih Perlu Banyak Renovasi...."
Ashafa Zakia,Diedit 7 tahun lalu,Pengen kesini tapi sampai sekarang belum kesampaian. Hadehhh
Anton Suprapto,4 tahun lalu,Terlakasan juga main ke gunung kelud
M.Rafi Vieri,6 tahun lalu,Keren tpi gunung kelud itu kab. Kediri
SDLFRM Official,6 tahun lalu,Dingin
am design,3 tahun lalu,Tanpa toilet...
Syaiful Achmad,6 tahun lalu,👍👍👍 …
Wahyu Sudrajit,8 tahun lalu,Adem tenan yo
User Oppo04,9 tahun lalu,bgus bgt wisata ne
Nizar Aditya,7 tahun lalu,Must improve for better service
E. Widhiandoko,7 tahun lalu,One of active volcanos at Java
Ahmad Rian,3 tahun lalu,Tidak ada ulasan
Farouk Yufara,7 tahun lalu,nice mountain in kediri
PERFECT DOCTORS,6 tahun lalu,Jalan yang menantang
Muhammad Abdullah,2 tahun lalu,Bagus
Jen Tul,6 tahun lalu,Mantap.
M.Ridho Ridho,9 tahun lalu,Indah sekali
Lanang Aditya Nugraha,8 tahun lalu,Unrecognized potential tourism spot
Agus Luthfi,8 tahun lalu,Beautiful view!
Deph Yu Can,9 tahun lalu,kapan rene
achmada syamsir alam,7 tahun lalu,Lumayan
Zak Qq,7 tahun lalu,Ok
datebayo kun,6 tahun lalu,Amazing
Anissa Tri Wahyuni,Diedit 7 tahun lalu,Lagu ini benar-benar istimewa!!!
Azriel Zanuar,4 tahun lalu,Pemandangan ketika naik ke puncak kawah sungguh keren.
RiAl Rovkwr,9 tahun lalu,Sebuah gunung dengan pemandangan yang indah.
dedi 123,5 tahun lalu,RTV
Kusuma,setahun lalu,Saran saya kalau mau kesana lebih baik pagi hari
Risky Joyo Seputro,8 tahun lalu,Mt Kelud near the city of Kediri is a nice opportunity to enjoy nature and having a walk in the crowded island of Java. The area provides good insights into vulcanic activities. Especially since an eruption kicked up a black hill inside the …
Eru,2 tahun lalu,Waktu yg tepat berkunjung pas musim. Panas!!
farid iskandar,7 tahun lalu,Pemandangan bagus namun kurang sarana umum seperti tpilet dan sarana ibadah
khusni alfian,5 tahun lalu,"Rekomendasi buat naik nih, pengen banget 🤩 …"
susilo eni,8 tahun lalu,"Pemandangan alam sangat menarik, walaupun baru meletus"
Adi Wong,8 tahun lalu,Satu2nya gunung yg bisa di akses dgn kendaraan
Firdous Redfish,5 tahun lalu,Cocok buat pendaki pemula
fandy losgaria,8 tahun lalu,Keren
Info Seputaran Blitar,6 tahun lalu,Wisata alam
Laynin Iftitah,7 tahun lalu,Dulu pas meletus tahun 1990 kebetulan ibuk pas mau hamil saya😀😀😀 …
Sis “Satria lelana” Channel,Diedit 8 tahun lalu,Tempat yang bagus
Dwi wulandari,6 tahun lalu,Gunung kelud adalah gunung aktif yang berada di wilayah jawa timur
EKO DANANG,4 tahun lalu,Gunung Kelud mempunyai ketinggian 1731 MDPL
Mohamadashar Shodiqin,6 tahun lalu,Tempat nya indah tapi sayang masih ada yang kurang
Pak Jemono,6 tahun lalu,Keren menakjubkan..bisa lihat kawah.
A Min,7 tahun lalu,Good
Justin mahardani,6 tahun lalu,This crater is close to my mom's house so my mom  say it is dangerous however I don't like stronger craters or volcanoes
Yuda Giri,7 tahun lalu,Untuk sekarang masih belum bisa sampai kawah
Gito Sbosa,6 tahun lalu,"Suasananya sejuk,pengen ksana lag"
Widodo Basuki Pare,8 tahun lalu,Pemandangan indah n udara segar
Yasmine Aurl,8 tahun lalu,Good places
Riza Yunan,8 tahun lalu,Tempat yang indah untuk dikunjungi
Hidayatush Sholichah,6 tahun lalu,Bagus banget ayo ke kelud
Reno Nezsya Z,5 tahun lalu,Sudah buka kah?
Rohadi Hadi,3 tahun lalu,Mantab
Imam Bukhori,5 tahun lalu,Bersih dan bagus
RIO PRATAMA,4 tahun lalu,okelah
Ashar Roziqin,Diedit 7 tahun lalu,Gunung kelud keren 👍 …
Rachmad Arifin (Nexays),Diedit 7 tahun lalu,diperbaiki pelayanannya
nazril imam kautsar,5 tahun lalu,paket lengkap
ribut djijono,4 tahun lalu,Sangat indah
Agus Gear,8 tahun lalu,Historic place..
cunin tou,9 tahun lalu,apik
Mukhlis_ junaidi07,5 tahun lalu,Good place
Shelvia Ariani,Diedit 7 tahun lalu,pemandangannya bagus meskipun harus jalan ke atas
Siska Dwi Agustin,7 tahun lalu,Sangat menarik ketika sampai di kawah
DeviMayasari Amdkeb,8 tahun lalu,"Pemandangannya bagus, sayang sekali saya sampai di sana siang hari karena hujan sehingga saya tidak bisa melanjutkan perjalanan ke kawah. Perjalanan selanjutnya... ke kawah."
Kakek ion,3 tahun lalu,"Saya melihatnya dari jauh (tempat saya dilahirkan....sangat indah, berbeda dengan tahun 1985."
Merry Puspita,3 tahun lalu,DILARANG MEMASUKI GUA SENDIRIAN
Alfito Adi,Diedit 7 tahun lalu,Bantuan manakah yang Anda tolak?
haru michi (rha),7 tahun lalu,Kawahnya telah hilang.
Rohman man,3 tahun lalu,Mantaf
adytia setiawan,7 tahun lalu,"Cantik, keren"
Fakhruddin Abbas,6 tahun lalu,Uapikkkkk
suka suka,6 tahun lalu,Kamu sedang tidur.
Diego Stevanus,7 tahun lalu,Jika
veiros,4 tahun lalu,barbel tertulis
Furi Haryana,9 tahun lalu,Ya
Hindra Kurniawan,4 tahun lalu,Akses mudah. Ada ojek buat yg Ndak kuat tracking.
Cryp hau law,7 tahun lalu,"Pemandangan bagus sekali, bisa membuat otak fresh kembali"
Arya Pradana,6 tahun lalu,Gak akan nyesel kesini. Walaupun jauh untuk sampai kesini akan terbayarkan dengan view yang sangat memanjakan mata
Gap Tek,setahun lalu,Kapan mletusnya lagi ini yang dahsyat biar seru
Renata Eggy,8 tahun lalu,"It's cold there... But it's fun there also! Many parks to visit, from Orchid parks to Hammock land!"
Brian Farisya,9 tahun lalu,Wajib ke sana orang kediri
Dennis Jefrey,7 tahun lalu,"Menyenangkan, pelan pelan aja naik motornya sambil nikmatin pemandangan."
ENDANG WERDININGSIH,6 tahun lalu,"Beberapa air terjun terlihat jelas kala pohon"" belum tumbuh pasca erupsi"
tyo cavalera,8 tahun lalu,"Destinasi wisata alam yg bagus, salah satu gunung yg masih aktif di Jawa Timur"
Muhamad Nur Azis,7 tahun lalu,Sejuk banget tempatnya. Nggak usah takut kehabisan bensin. Diatas ada yg jual 👍👍👍 …
joey hasbend,4 tahun lalu,Numpang simpan foto.biar tidak lupa Klo perna kesini . Pokoknya tpat Ini bagus bgt
wulan amalia,8 tahun lalu,"Pemandangannya bagus, cocok untuk piknik bersama keluarga"
Handoko,9 tahun lalu,"Mantap lah pas meletus 2013 kemarin, memorial banget pas hari valentine"
Fachry Letter,4 tahun lalu,Rute Jalurnya Sangat Mantul Sekali 👍 …
Moch Irfan Firdianto 084,6 tahun lalu,Tempat nya bagus view idaman banget surga kecil dari kota kediri recomended
Virna Amelia,7 tahun lalu,MashaAllah Indah ciptaanMu Ya Allah. sayang masih banyak pengunjung yg membuang sampah sembarangan disana
Dicky Yoko Pradana,Diedit 8 tahun lalu,"Viewnya cakep, banyak jual nanan pas perjalanan mau nyampe lokasi"
komeng oi,3 tahun lalu,Saya kesana setelah gunung meletus jadi masih banyak yg di rehab
Amalia Feby,4 tahun lalu,Suasanya sejuk sayang pariwisatanya belum sepenuhnya pulih
Yenny Ardiani,6 tahun lalu,Utuk pencita alam sangat bagus dan parkir lumayan luas
Bimantoro Yudono,5 tahun lalu,"Indahnya pemandangan gunung, tempatnya bersih"
Nida Husna,3 tahun lalu,Kalau ke kediri belum mampir ke gunung Kelud belum afdol rasanya
Imam Subroto,5 tahun lalu,"Pemandangan gunung Kelud bagus , wisata juga bagus ."
Thaink Mustain,4 tahun lalu,Mau kesini belum kesampain juga..terakhir sudah di kediri tp kok tutup gara2 covid
Bagus Tamtomo Hadi,5 tahun lalu,"Udah bolak balik kesana, tapi untuk hari ini tgl abarusan kesana masih tutup untuk hari ini, masih dalam rangka covid sih"
Hilwa Zakiatu Nabila,7 tahun lalu,"Disaranin buat bawa jas hujan, cuaca bisa tiba2 berubah"
Rizal Endriyanto,6 tahun lalu,"Bagus banget, sekelas sama bromo dan kawah ijen lah menurutku"
Lazuardi Al Muzaki,8 tahun lalu,Simple but underrated. It's very easy for every local tourist to reach every single visual pleasure in this place
Bang Tora,7 tahun lalu,Amazing !
Nay,7 tahun lalu,"Pemandangannya indah sekali, sayang sekali kalau tidak mampir kesini"
Marfin Jaya Tompo,7 tahun lalu,"Kangen Kelud kangen kediri
Tak sabar rasanya ingin cepat pulang ke kediri dan menikmati indahnya gunung Kelud 😊😊 …"
Cindy Adiaisyah,setahun lalu,Pemandangan indah dan bersih
Adhie Octavery,9 tahun lalu,Josss View'nya
Anis Nuraini,2 tahun lalu,"Dan kali kedua kesini, akhirnya liat danau nya hijau tosca ❤"
Indah Yuliatin,Diedit setahun lalu,Kesini waktu bulan Maret lalu.
Luhur Adhika,8 tahun lalu,"Siip, pemandangan nya bagus sekali, udaranya juga segar disini"
Marc MarUans,7 tahun lalu,"Pas mau kesana msh dlm proses renovasi.G jadi msk,sedih..."
Rizky Fadhlillah,6 tahun lalu,harus bayar ojek kalau pengen cepet sampai jalannya banyak bolongnya
Farah Aqila,7 tahun lalu,"Pemandangan bagus, banyak objek wisata disekitar juga"
Zulham Fahmi,5 tahun lalu,"Sejuk, adem, pemandangan masih bagus dan asri"
Sandal Jepit,Diedit 6 tahun lalu,sungguh luar biasa mata memandang bukti kebesaran allah
mamad dungpung,8 tahun lalu,wisata alami yang sangat indah...udara yg sejuk dan segar....
Mukh. Syaiifudin (syai),7 tahun lalu,"Cocok untuk wisata bareng keluarga, teman, pacar, selingkuhan & mantan. Wkwkwk"
Anggoro 29,7 tahun lalu,"Sebelum meletus bisa dekat dengan kawahnya, dan bisa mandi di air belerang"
BELLIN channel,4 tahun lalu,"Info donk,apakah bulan ini wisata kelud buka / tutup ?"
purwandi djoe,8 tahun lalu,bagus oemandanganx ..tp penataan blm selesai setelah meletus 😧 …
Sastro repair paint,8 tahun lalu,Jalanan menuju tempat ini sangat exotis...memanjakan mata
Muhammad Rahmad Wahyudi,5 tahun lalu,"Viewnya bagus, ada jalan magnetnya juga."
Abduh Muhammad,6 tahun lalu,Semamin indahh semakin keren cocok bwt liburan di hawa yg dingin
jenengku gopal,2 tahun lalu,"wajib Sampek puncak, gak akan kecewa"
mawan,3 tahun lalu,Sangat menawan
Zero 7,6 tahun lalu,karena disini askses lokasi sngat terpenuhi dan tiketnya nggak mahal prkir oke indah
SAHILY ID,8 tahun lalu,Alhamdulillah Sudah sampai sini😁 …
r i,8 tahun lalu,Wa enak banget di situ ada jalan misteri lo hi seru banget seneng aku jadinya
Triple x,3 tahun lalu,Mantap
Khunais Al-badali,2 tahun lalu,Beautiful Lake
ArisCahyo,8 tahun lalu,wisata alam sejuk
Defi Tri andani,5 tahun lalu,Kpan ya buka lgi... Rindu..
Muhammad Prasetyo,7 tahun lalu,Gunung yang ada didaerah kediri
Rizky Ikhsan,Diedit 6 tahun lalu,Memiliki sejarah yang panjang dan sebagai destinasi wisata yang indah dan menakjubkan
Bakul Panganan,Diedit 8 tahun lalu,Sayang waktu pertama kali ke Gn.Kelud cuacanya berkabut
Oki Ahmad Permana,8 tahun lalu,baik hanya saja fasilitas untuk parkir dan tiket masukk sedikit mahal
Dewinda Yudhi,6 tahun lalu,Amazing view!
ilham suryoko,6 tahun lalu,"Tempatny bagus buat liburan
Sayang msh renovasi"
endra exca,4 tahun lalu,Mantul bos suasana gunung dan monyet2 bergelantungan
Chusnul khotimah suci L,6 tahun lalu,Cocok buat yang pingin mendaki tapi masih pemula
Hendra Gunawan15,7 tahun lalu,"Akses jalannya mudah, tempatnya juga Bagus, menyenangkan"
Ferry Shputra,8 tahun lalu,Semoga tetap lestari
Aditya Rizki Dian Pratama,6 tahun lalu,Pemandangan yang bagus dan salah satu gunung yang masih aktif di Indonesia
Monika Intan Sari,6 tahun lalu,"Tempatnya indah,sejuk, bersih , yuk berpariwisita ke gunung kelud 👍👍👍 …"
Setiawan,6 tahun lalu,"Lokasi wisata yang ramai... Harga makanan standar, tidak kuatir up harga"
Agus Wibowo,7 tahun lalu,Wisata alam yang cocok bagi pelajar buat refresing dan belajar tentang alam
demit black,6 tahun lalu,"Tempat yang indah di puncak kelud ,masuk trowongan untuk bisa sampai ke kawah"
mas kholis,6 tahun lalu,Salah satu wisata alam terbaik yang ada di kota blitar
mrizafirdaus,7 tahun lalu,Mantap dah
Ani Hidayanti,2 tahun lalu,Pemandangan di puncaknya indah
Den Wahid,6 tahun lalu,Wisata yang menakjubkan. Patut untuk dikunjungi.
Hendrik Kurniawan,4 tahun lalu,"Tlg infonya, apa gunung kelud sudah buka.??"
Wulan Dalu,8 tahun lalu,"Great view and fresh air
Must try fresh pineapple, you can buy in local seller, peeled pineapple n ready to eat, yumm"
hari suryanto,setahun lalu,Seiring waktu kawah Kelud warna berubah
Abizzar Naufal,7 tahun lalu,Pemandanganya sangat memanjakan mata ...udaranya sejuk
ARD ARD,6 tahun lalu,"Lumayan jauh untuk ke kawahnya, tapi sajian pemanadangan keren."
BY YONGKI ONAR “Dhuro” CHANEL,3 tahun lalu,Mantap indah banget
Anita K. Ningrum,7 tahun lalu,Salah satu Surgaaa dunia
Mr Anderson,8 tahun lalu,"Viewnya indah, suasananya seru untuk refreshing menghilangkan penat"
Norman Marantika,7 tahun lalu,Skr pemandangannya sdh tdk spt dlu lagi..
sendidinata,3 tahun lalu,bagus pemandangannya dan suejukk.
Rendhy Faizar Hakim,7 tahun lalu,Mantap tanjakannya wkwk
M. Syahrul Roziqin,7 tahun lalu,dengan pemandangan yang indah aku lupa bahwa diriku ini makhluk yang buruk
ahmad ribowo,6 tahun lalu,Mendaki dimalam hari anginnya sangat kencang
Khafidz ainul Yaqien,6 tahun lalu,"Moga moga ada orang yang jualan minum di atas, agak mahalan dikit gpp lah"
Rizqi Rizma,7 tahun lalu,Menyuguhkan destinasi wisata alam yg masih asri...
Faila Nia,4 tahun lalu,Bagus banget
Eza Reyfansah,5 tahun lalu,jalur pendakian udah buka kah??
Giovanni Chandra,7 tahun lalu,Bagus tapi dulu ada perbaikan jadi gak bisa lihat penuh
Permata Ryana,6 tahun lalu,pemandangan alam nya sangat inda
Umaidah,6 tahun lalu,Musim kemarau tapi hujan lebat tapi ttep luar biasa 😻😻 …
Seputar Berita Bola Indonesia,9 tahun lalu,karena pemandangannya sangat indah dan menarik
Mc. Agus nasoka,7 tahun lalu,Indah nian pemandangan tempatnya sejuk👍👍😃😀 …
Edi Utomo,4 tahun lalu,Pemandangannya mantap puolll
Dimas Raditya,setahun lalu,cocok buat pemula 😹 …
Ahmad Dzaki,3 tahun lalu,"Menyenangkan, membuat pengalaman baru, sejuk"
Cah JOWO,8 tahun lalu,Rame asik pemandangannya saat musim hujan
Lukman Chakim,4 tahun lalu,Viewnya bagus ga ada dua nya
Qonita Nisa,4 tahun lalu,"Belajar di pare, ada waktu luang jln2 ksini. 😍😍😍😍 …"
Alicia syifa,setahun lalu,Pemandangan ya cantik bgt
Pijar Damar,3 tahun lalu,Sarana rekreasi keluarga yg nyaman..
